file_name,feature_x_1,feature_x_2,feature_x_3,feature_x_4,feature_x_5,feature_y_1,feature_y_2,feature_y_3,feature_y_4,feature_y_5,is_gan
00031.png,124,76,95,101,,88,88,79,139,,No
000316.png,75,127,112,,,89,88,140,,,Yes
00032.png,128,82,,,,88,141,,,,No
000320.png,120,96,,,,88,141,,,,Yes
000322.png,127,,,,,91,,,,,Yes
00033.png,125,73,,,,90,85,,,,No
000334.png,126,75,,,,89,89,,,,Yes
000336.png,126,78,82,,,90,90,140,,,Yes
000339.png,77,126,81,,,90,90,136,,,Yes
00034.png,123,,,,,91,,,,,No
000341.png,124,,,,,91,,,,,Yes
000343.png,126,119,76,83,,90,143,91,144,,Yes
00035.png,115,104,,,,88,143,,,,No
000351.png,129,,,,,88,,,,,Yes
000352.png,128,119,79,74,,91,137,137,83,,Yes
000353.png,123,77,,,,89,90,,,,Yes
00036.png,128,75,,,,89,91,,,,No
000360.png,81,123,73,,,17,89,89,,,Yes
00037.png,127,76,,,,89,88,,,,No
000370.png,84,126,111,75,,138,89,137,88,,Yes
000375.png,78,126,,,,86,88,,,,Yes
00038.png,79,120,,,,85,91,,,,No
000384.png,123,,,,,85,,,,,Yes
000385.png,77,121,,,,89,90,,,,Yes
000386.png,81,129,75,117,,137,90,89,138,,Yes
00039.png,123,75,115,,,89,89,145,,,No
000398.png,126,74,94,84,,89,89,22,137,,Yes
00040.png,127,74,,,,90,88,,,,No
000401.png,127,76,82,,,89,89,139,,,Yes
000402.png,127,79,,,,87,90,,,,Yes
000404.png,125,,,,,90,,,,,Yes
000405.png,127,74,,,,89,90,,,,Yes
00041.png,126,76,,,,90,90,,,,No
00042.png,126,83,,,,91,89,,,,No
000424.png,76,126,84,,,89,88,67,,,Yes
000425.png,127,,,,,89,,,,,Yes
000428.png,117,,,,,88,,,,,Yes
00043.png,101,128,75,122,,153,88,89,89,,No
000433.png,126,74,89,,,89,90,142,,,Yes
00044.png,126,74,176,,,90,88,61,,,No
000440.png,126,78,,,,88,89,,,,Yes
000448.png,128,77,,,,90,91,,,,Yes
00045.png,127,77,,,,91,89,,,,No
000454.png,77,128,,,,88,87,,,,Yes
00046.png,76,126,116,,,89,89,73,,,No
000462.png,77,127,,,,89,89,,,,Yes
000465.png,124,76,97,,,89,89,132,,,Yes
000467.png,82,120,76,126,104,139,142,88,89,118,Yes
00047.png,123,,,,,87,,,,,No
000470.png,77,127,,,,89,89,,,,Yes
000477.png,124,103,74,,,90,142,80,,,Yes
00048.png,127,78,107,,,89,88,141,,,No
000482.png,125,82,120,,,91,141,85,,,Yes
000487.png,76,126,,,,88,86,,,,Yes
00049.png,75,78,,,,90,88,,,,No
000490.png,127,83,118,76,,89,140,138,89,,Yes
00050.png,127,76,,,,89,89,,,,No
000501.png,125,76,,,,93,85,,,,Yes
00051.png,128,77,,,,89,87,,,,No
000512.png,125,76,103,76,,90,88,149,74,,Yes
000515.png,127,77,100,,,88,89,157,,,Yes
000519.png,125,75,80,,,89,89,138,,,Yes
00052.png,77,129,,,,90,93,,,,No
000521.png,125,74,,,,91,90,,,,Yes
000525.png,127,75,,,,89,90,,,,Yes
00053.png,74,84,125,,,91,92,88,,,No
000534.png,126,76,,,,89,90,,,,Yes
000537.png,127,75,,,,90,89,,,,Yes
000539.png,126,74,89,,,88,90,145,,,Yes
00054.png,77,126,,,,89,89,,,,No
000544.png,123,78,,,,88,87,,,,Yes
00055.png,84,77,,,,145,90,,,,No
000556.png,75,127,,,,90,89,,,,Yes
00056.png,126,77,,,,89,89,,,,No
000561.png,76,125,115,,,91,89,138,,,Yes
000562.png,72,128,,,,91,89,,,,Yes
000564.png,125,77,,,,90,88,,,,Yes
000565.png,75,126,,,,90,90,,,,Yes
00057.png,126,82,,,,91,89,,,,No
000572.png,71,126,79,112,,89,88,137,136,,Yes
000573.png,124,85,,,,86,157,,,,Yes
000574.png,127,80,105,,,90,89,124,,,Yes
000575.png,76,127,77,,,142,89,89,,,Yes
000576.png,127,77,183,,,91,137,25,,,Yes
000578.png,124,,,,,87,,,,,Yes
00058.png,123,70,79,,,89,91,89,,,No
000581.png,12,76,129,,,103,89,88,,,Yes
000584.png,77,126,,,,90,90,,,,Yes
00059.png,126,76,85,105,,87,88,23,141,,No
000597.png,127,74,99,,,89,89,172,,,Yes
00060.png,80,,,,,93,,,,,No
000604.png,127,85,79,114,,89,141,90,141,,Yes
000606.png,92,77,126,107,,114,90,89,133,,Yes
000607.png,88,80,,,,141,80,,,,Yes
000612.png,126,74,,,,89,91,,,,Yes
00062.png,81,123,98,110,,90,89,144,83,,No
000621.png,75,126,,,,90,90,,,,Yes
000628.png,77,127,82,117,116,89,89,139,141,75,Yes
000629.png,128,76,119,,,89,90,148,,,Yes
000632.png,127,76,,,,90,89,,,,Yes
000634.png,77,127,77,,,141,89,90,,,Yes
000638.png,123,103,82,94,,90,123,88,143,,Yes
000639.png,74,128,,,,74,92,,,,Yes
00064.png,126,76,,,,87,88,,,,No
000643.png,127,75,100,99,,89,89,130,162,,Yes
000648.png,77,,,,,146,,,,,Yes
00065.png,125,77,,,,88,87,,,,No
000651.png,126,73,,,,89,89,,,,Yes
000655.png,127,74,,,,91,91,,,,Yes
00066.png,76,127,,,,89,90,,,,No
000660.png,77,125,,,,90,89,,,,Yes
000661.png,22,129,92,,,169,87,83,,,Yes
000666.png,82,74,127,,,137,90,90,,,Yes
000669.png,126,76,73,,,92,91,80,,,Yes
00067.png,80,126,78,72,,139,90,92,85,,No
000671.png,83,,,,,86,,,,,Yes
000674.png,128,116,77,,,88,136,88,,,Yes
000675.png,126,74,82,68,,90,87,140,76,,Yes
000678.png,80,121,,,,90,85,,,,Yes
000679.png,75,128,97,,,89,89,120,,,Yes
00068.png,127,79,97,100,,89,89,152,138,,No
000684.png,128,77,,,,89,90,,,,Yes
000685.png,127,,,,,90,,,,,Yes
00069.png,74,123,134,,,88,90,88,,,No
000692.png,77,113,75,125,121,141,116,90,91,140,Yes
000699.png,128,75,,,,89,91,,,,Yes
00070.png,128,98,77,97,,87,118,91,135,,No
000701.png,128,76,,,,88,89,,,,Yes
00071.png,126,76,84,,,91,90,136,,,No
000717.png,75,127,103,102,,88,90,145,129,,Yes
000719.png,102,127,84,89,,172,90,91,146,,Yes
00072.png,74,127,,,,88,88,,,,No
000725.png,127,74,,,,88,89,,,,Yes
000726.png,125,73,69,,,90,90,73,,,Yes
000729.png,76,125,99,84,,91,88,130,68,,Yes
00073.png,118,127,81,75,,137,90,140,85,,No
000732.png,111,77,128,,,142,92,91,,,Yes
000735.png,126,75,,,,90,90,,,,Yes
00074.png,74,80,126,,,90,143,86,,,No
000748.png,76,127,,,,88,88,,,,Yes
00075.png,126,102,74,,,88,125,87,,,No
000758.png,126,76,85,79,,89,91,93,139,,Yes
00076.png,77,125,105,,,90,88,143,,,No
000767.png,124,83,,,,89,88,,,,Yes
00077.png,127,74,105,,,87,88,16,,,No
000772.png,125,79,83,99,,89,142,89,126,,Yes
000777.png,103,83,90,,,123,86,79,,,Yes
000778.png,109,79,126,119,,115,91,91,139,,Yes
00078.png,77,126,,,,93,90,,,,No
000783.png,91,125,,,,149,84,,,,Yes
000785.png,126,75,,,,90,90,,,,Yes
000789.png,130,82,118,,,91,139,140,,,Yes
00079.png,48,126,93,74,,98,89,146,90,,No
000792.png,127,84,76,,,90,139,89,,,Yes
000794.png,75,,,,,85,,,,,Yes
00080.png,76,127,,,,86,89,,,,No
000803.png,125,79,,,,85,88,,,,Yes
000805.png,125,83,73,,,92,70,87,,,Yes
000808.png,126,75,77,,,90,134,91,,,Yes
000809.png,127,30,76,,,88,177,89,,,Yes
00081.png,75,84,127,100,,90,141,89,125,,No
000813.png,76,127,113,74,,91,89,140,43,,Yes
00082.png,126,77,,,,88,89,,,,No
000824.png,75,127,,,,89,89,,,,Yes
000827.png,127,77,,,,88,90,,,,Yes
00083.png,123,,,,,86,,,,,No
000832.png,112,126,,,,145,90,,,,Yes
000833.png,126,79,112,,,90,88,142,,,Yes
000835.png,75,,,,,87,,,,,Yes
00084.png,79,102,,,,89,146,,,,No
000849.png,122,16,75,,,90,178,92,,,Yes
00085.png,76,127,102,,,90,87,138,,,No
000858.png,128,75,,,,89,89,,,,Yes
00086.png,76,126,,,,91,90,,,,No
00087.png,127,118,114,,,85,21,70,,,No
00088.png,89,,,,,145,,,,,No
000886.png,127,76,,,,89,90,,,,Yes
000887.png,128,74,79,,,91,91,135,,,Yes
000888.png,125,76,,,,87,89,,,,Yes
000889.png,124,77,,,,90,89,,,,Yes
00089.png,126,95,124,,,82,139,60,,,No
000893.png,126,75,101,82,,88,90,131,81,,Yes
000894.png,126,,,,,81,,,,,Yes
000897.png,73,126,,,,90,89,,,,Yes
000898.png,22,80,,,,107,90,,,,Yes
000899.png,75,125,,,,87,86,,,,Yes
00090.png,169,77,127,105,,150,90,90,134,,No
000902.png,80,129,,,,89,88,,,,Yes
000904.png,128,79,117,118,,91,91,140,82,,Yes
000907.png,75,127,,,,89,89,,,,Yes
00091.png,126,,,,,86,,,,,No
000913.png,76,124,,,,89,91,,,,Yes
000915.png,116,123,,,,135,82,,,,Yes
000921.png,115,,,,,89,,,,,Yes
000927.png,127,77,,,,90,89,,,,Yes
000929.png,76,127,95,,,91,88,136,,,Yes
00093.png,128,,,,,90,,,,,No
000933.png,79,123,,,,91,96,,,,Yes
000934.png,127,,,,,90,,,,,Yes
000939.png,125,74,,,,88,86,,,,Yes
00094.png,78,128,95,,,91,89,148,,,No
000948.png,127,120,77,88,,88,141,90,116,,Yes
00095.png,86,,,,,140,,,,,No
000952.png,125,73,,,,88,88,,,,Yes
000959.png,126,117,,,,83,68,,,,Yes
00096.png,128,,,,,87,,,,,No
000962.png,127,90,76,94,,89,119,88,117,,Yes
00097.png,126,,,,,87,,,,,No
000970.png,77,128,82,114,114,91,89,139,138,80,Yes
000973.png,126,77,90,98,,90,90,135,117,,Yes
000977.png,127,74,83,117,71,90,90,136,137,81,Yes
000978.png,80,128,,,,90,88,,,,Yes
00098.png,126,76,,,,89,88,,,,No
000987.png,127,,,,,89,,,,,Yes
00099.png,127,76,96,,,87,88,149,,,No
000998.png,127,76,83,,,89,91,138,,,Yes
00100.png,74,126,,,,90,91,,,,No
001002.png,100,103,121,,,126,144,85,,,Yes
001003.png,128,77,,,,88,90,,,,Yes
001004.png,124,79,,,,88,88,,,,Yes
001007.png,76,127,100,,,90,88,135,,,Yes
00101.png,117,124,85,73,97,133,90,134,90,20,No
001010.png,127,75,99,100,,90,90,128,124,,Yes
001016.png,125,76,,,,91,90,,,,Yes
001018.png,126,75,,,,88,88,,,,Yes
00102.png,76,125,99,,,89,88,134,,,No
00103.png,126,77,,,,89,87,,,,No
001033.png,124,77,105,,,89,88,135,,,Yes
001036.png,76,101,68,109,127,90,125,89,141,86,Yes
001037.png,129,69,,,,90,91,,,,Yes
001038.png,126,78,87,103,,90,92,137,142,,Yes
00104.png,127,93,76,70,,89,126,90,79,,No
001049.png,127,77,103,,,87,90,139,,,Yes
00105.png,123,,,,,91,,,,,No
00106.png,127,85,,,,89,143,,,,No
001060.png,80,,,,,141,,,,,Yes
001061.png,126,,,,,92,,,,,Yes
001073.png,127,76,,,,87,86,,,,Yes
001074.png,127,76,93,,,88,89,137,,,Yes
001075.png,110,83,,,,166,81,,,,Yes
001079.png,81,129,76,,,140,90,89,,,Yes
00108.png,128,76,,,,89,88,,,,No
001081.png,75,127,,,,89,90,,,,Yes
001086.png,75,127,88,,,89,90,136,,,Yes
001092.png,126,75,115,86,,88,89,137,135,,Yes
00110.png,77,127,82,,,91,89,139,,,No
001101.png,78,124,74,,,90,85,84,,,Yes
001103.png,124,73,,,,88,86,,,,Yes
001108.png,111,119,,,,142,86,,,,Yes
00111.png,120,96,100,,,87,126,142,,,No
001110.png,78,125,,,,88,89,,,,Yes
001111.png,127,76,,,,88,88,,,,Yes
001117.png,97,79,124,93,,128,88,88,146,,Yes
001119.png,78,127,79,,,90,90,138,,,Yes
001123.png,117,126,,,,92,92,,,,Yes
001127.png,127,76,,,,88,88,,,,Yes
001129.png,84,,,,,90,,,,,Yes
00113.png,127,75,,,,89,88,,,,No
001133.png,74,124,106,,,90,88,141,,,Yes
001134.png,75,97,126,,,88,117,88,,,Yes
001137.png,128,75,,,,90,90,,,,Yes
00114.png,80,123,,,,89,88,,,,No
001149.png,127,75,,,,90,90,,,,Yes
00115.png,76,128,,,,92,90,,,,No
001151.png,74,126,117,,,90,88,146,,,Yes
001155.png,124,73,,,,88,88,,,,Yes
001156.png,75,126,,,,89,89,,,,Yes
001158.png,126,75,79,,,88,86,138,,,Yes
00116.png,78,127,,,,90,89,,,,No
001160.png,117,,,,,89,,,,,Yes
001161.png,73,126,,,,90,89,,,,Yes
001162.png,126,,,,,90,,,,,Yes
00117.png,130,96,75,88,,87,128,91,90,,No
001170.png,125,77,84,90,,89,89,142,81,,Yes
001173.png,127,76,,,,88,88,,,,Yes
001174.png,78,132,,,,88,86,,,,Yes
001176.png,128,76,,,,89,90,,,,Yes
001179.png,124,74,98,,,88,87,152,,,Yes
001181.png,76,127,85,,,89,90,139,,,Yes
001185.png,127,,,,,89,,,,,Yes
00119.png,75,126,86,93,,90,86,122,151,,No
001190.png,127,,,,,85,,,,,Yes
001191.png,76,127,66,104,,88,88,89,145,,Yes
001192.png,104,86,,,,154,35,,,,Yes
001194.png,128,82,,,,90,86,,,,Yes
001196.png,127,79,,,,89,91,,,,Yes
001197.png,126,76,,,,86,89,,,,Yes
001199.png,126,75,,,,89,88,,,,Yes
001201.png,127,78,,,,88,89,,,,Yes
001204.png,74,128,,,,88,89,,,,Yes
001205.png,126,76,81,123,,88,86,146,137,,Yes
001208.png,126,79,116,,,89,84,144,,,Yes
001215.png,125,82,106,,,90,72,146,,,Yes
001218.png,78,126,,,,90,88,,,,Yes
00122.png,122,76,,,,92,86,,,,No
001221.png,76,126,93,,,90,88,138,,,Yes
001224.png,84,128,78,,,91,89,142,,,Yes
001228.png,127,76,,,,89,88,,,,Yes
00123.png,125,78,89,,,88,88,86,,,No
001232.png,76,129,84,,,90,89,145,,,Yes
001233.png,78,125,,,,91,91,,,,Yes
001234.png,129,66,77,99,,91,90,91,173,,Yes
00124.png,128,,,,,89,,,,,No
001241.png,76,126,,,,88,88,,,,Yes
001243.png,125,80,77,109,84,90,133,92,130,132,Yes
001245.png,128,,,,,89,,,,,Yes
001246.png,127,79,128,89,,87,91,75,93,,Yes
00125.png,121,78,103,115,,89,91,140,81,,No
001253.png,109,78,127,81,,145,86,88,69,,Yes
001255.png,125,75,98,,,88,90,143,,,Yes
001257.png,128,75,,,,90,89,,,,Yes
001258.png,124,78,107,,,87,88,144,,,Yes
00126.png,127,75,94,,,89,87,87,,,No
001262.png,126,75,101,153,,87,89,138,170,,Yes
001266.png,76,125,,,,88,91,,,,Yes
001269.png,76,126,113,,,91,90,137,,,Yes
00127.png,126,96,74,,,90,141,89,,,No
001276.png,128,72,,,,92,91,,,,Yes
001279.png,128,76,,,,88,91,,,,Yes
00128.png,77,126,,,,87,87,,,,No
001281.png,126,76,112,,,88,88,134,,,Yes
001287.png,74,122,,,,90,92,,,,Yes
001289.png,127,,,,,90,,,,,Yes
00129.png,75,131,71,,,143,88,88,,,No
001295.png,126,,,,,89,,,,,Yes
00130.png,126,76,,,,88,89,,,,No
001302.png,126,76,,,,87,88,,,,Yes
001307.png,127,84,77,100,115,88,138,89,140,138,Yes
00131.png,128,115,75,,,92,138,88,,,No
001311.png,75,128,107,68,,88,88,144,86,,Yes
001315.png,126,76,99,98,,87,90,113,133,,Yes
001319.png,125,75,91,,,91,91,132,,,Yes
00132.png,125,77,,,,89,89,,,,No
001321.png,126,,,,,88,,,,,Yes
001323.png,76,124,99,,,88,87,139,,,Yes
001326.png,120,83,,,,90,90,,,,Yes
001328.png,127,76,,,,87,88,,,,Yes
00133.png,128,80,78,,,88,142,90,,,No
00134.png,127,76,112,,,89,89,141,,,No
00135.png,127,77,,,,90,90,,,,No
00136.png,129,81,77,118,,86,135,95,20,,No
001360.png,126,76,77,,,88,89,141,,,Yes
001361.png,127,77,110,,,88,89,141,,,Yes
001362.png,121,,,,,85,,,,,Yes
001367.png,77,129,82,,,91,89,141,,,Yes
00137.png,79,128,80,,,91,90,135,,,No
001371.png,127,75,,,,88,88,,,,Yes
001375.png,126,76,107,92,,85,90,162,133,,Yes
001377.png,129,85,73,,,89,139,89,,,Yes
00138.png,125,76,,,,89,88,,,,No
00139.png,110,124,,,,136,87,,,,No
001390.png,78,,,,,86,,,,,Yes
001391.png,127,76,109,,,88,88,143,,,Yes
001392.png,79,123,,,,89,86,,,,Yes
001396.png,124,94,,,,86,135,,,,Yes
00140.png,78,81,126,,,90,139,89,,,No
001400.png,121,,,,,85,,,,,Yes
001406.png,126,,,,,87,,,,,Yes
001408.png,175,125,76,,,134,88,88,,,Yes
00141.png,77,126,102,,,90,91,136,,,No
001410.png,77,125,104,82,,88,91,138,169,,Yes
001412.png,79,,,,,72,,,,,Yes
001417.png,76,126,90,,,89,85,141,,,Yes
00142.png,126,76,112,,,92,89,88,,,No
001429.png,125,75,,,,89,91,,,,Yes
00143.png,73,128,,,,89,88,,,,No
001430.png,127,83,112,,,91,91,143,,,Yes
001434.png,127,76,,,,89,88,,,,Yes
001435.png,123,78,102,,,88,89,138,,,Yes
001439.png,123,74,,,,89,90,,,,Yes
00144.png,126,75,,,,89,90,,,,No
001442.png,75,127,109,,,90,89,175,,,Yes
001443.png,116,127,77,99,111,91,90,90,151,27,Yes
001444.png,77,129,,,,89,89,,,,Yes
001449.png,79,125,,,,89,87,,,,Yes
00145.png,125,77,88,,,89,89,77,,,No
001450.png,126,75,,,,88,90,,,,Yes
001454.png,86,126,75,123,,130,90,90,77,,Yes
001456.png,126,76,,,,88,89,,,,Yes
00146.png,128,75,,,,88,87,,,,No
001462.png,126,116,,,,87,77,,,,Yes
001463.png,130,76,82,78,,87,89,148,69,,Yes
001466.png,77,124,97,100,101,89,86,120,138,68,Yes
00147.png,125,77,103,,,88,89,142,,,No
001472.png,127,75,91,74,,87,88,127,81,,Yes
001476.png,81,125,75,119,,134,91,90,135,,Yes
001478.png,72,125,136,,,91,90,75,,,Yes
00148.png,127,75,,,,89,89,,,,No
001480.png,122,79,101,,,85,91,141,,,Yes
001483.png,108,99,,,,145,143,,,,Yes
001489.png,126,77,,,,88,88,,,,Yes
00149.png,126,76,,,,89,89,,,,No
001491.png,128,,,,,86,,,,,Yes
001495.png,74,127,,,,91,92,,,,Yes
001496.png,120,112,123,78,,136,112,90,88,,Yes
001497.png,127,131,76,79,90,89,74,89,138,77,Yes
00150.png,84,127,76,,,139,90,91,,,No
001501.png,125,116,,,,92,84,,,,Yes
001507.png,79,129,123,,,89,89,87,,,Yes
00151.png,77,126,,,,89,87,,,,No
001519.png,69,,,,,73,,,,,Yes
00152.png,78,127,114,,,90,90,143,,,No
001521.png,125,76,100,,,87,91,138,,,Yes
001524.png,76,128,,,,89,89,,,,Yes
001527.png,129,78,73,,,89,141,89,,,Yes
001529.png,124,78,,,,89,89,,,,Yes
00153.png,102,,,,,143,,,,,No
001531.png,92,126,73,,,121,89,89,,,Yes
001536.png,73,127,,,,89,91,,,,Yes
00154.png,101,122,,,,149,87,,,,No
001544.png,76,124,,,,89,91,,,,Yes
00155.png,113,127,76,92,,138,92,90,135,,No
001551.png,127,74,,,,89,91,,,,Yes
00156.png,76,120,109,,,89,90,140,,,No
001563.png,127,79,97,,,88,89,154,,,Yes
00157.png,126,77,66,89,,88,88,89,81,,No
001578.png,127,79,118,,,89,142,142,,,Yes
00158.png,98,124,77,,,151,86,86,,,No
001580.png,126,75,,,,90,89,,,,Yes
001582.png,126,,,,,88,,,,,Yes
001583.png,106,126,77,111,,119,88,89,141,,Yes
001584.png,117,75,,,,94,87,,,,Yes
001586.png,125,85,75,,,89,90,88,,,Yes
001589.png,77,125,,,,90,87,,,,Yes
00159.png,95,,,,,145,,,,,No
001592.png,126,75,,,,91,87,,,,Yes
001595.png,131,127,76,108,112,12,87,90,139,77,Yes
00160.png,124,79,,,,88,88,,,,No
001602.png,126,76,,,,89,90,,,,Yes
001605.png,117,,,,,23,,,,,Yes
001609.png,119,80,102,,,89,92,140,,,Yes
00161.png,125,75,96,,,90,90,139,,,No
001610.png,124,74,,,,90,88,,,,Yes
001612.png,124,,,,,90,,,,,Yes
00162.png,104,86,,,,37,138,,,,No
001625.png,128,,,,,89,,,,,Yes
001626.png,76,127,111,,,89,87,142,,,Yes
001627.png,79,125,75,,,88,89,75,,,Yes
001629.png,76,125,,,,89,88,,,,Yes
00163.png,76,127,,,,89,90,,,,No
001634.png,126,119,85,,,88,139,138,,,Yes
001637.png,127,,,,,90,,,,,Yes
001638.png,117,,,,,87,,,,,Yes
00164.png,76,20,77,127,,92,51,141,89,,No
001640.png,127,77,,,,88,90,,,,Yes
001645.png,79,127,103,108,,88,86,160,156,,Yes
001646.png,124,75,,,,89,88,,,,Yes
001647.png,77,128,116,,,90,88,72,,,Yes
001652.png,76,122,,,,87,91,,,,Yes
00166.png,127,75,,,,90,88,,,,No
001665.png,126,76,98,,,89,90,140,,,Yes
001667.png,127,78,74,120,,88,138,89,137,,Yes
00167.png,74,127,,,,90,90,,,,No
00168.png,126,74,,,,90,88,,,,No
001683.png,76,128,81,,,89,87,140,,,Yes
001686.png,125,83,75,,,90,146,87,,,Yes
00169.png,127,111,,,,87,135,,,,No
001690.png,126,75,77,,,89,90,86,,,Yes
001692.png,77,128,,,,88,88,,,,Yes
001696.png,125,73,,,,89,90,,,,Yes
00170.png,75,100,127,,,92,140,83,,,No
001702.png,77,125,101,,,89,89,138,,,Yes
001708.png,121,81,33,,,90,89,20,,,Yes
00171.png,127,126,,,,90,31,,,,No
001711.png,127,75,111,,,88,90,133,,,Yes
001716.png,126,76,,,,89,88,,,,Yes
001719.png,79,127,,,,89,76,,,,Yes
00172.png,127,76,101,,,85,88,141,,,No
001728.png,127,,,,,87,,,,,Yes
00173.png,125,85,93,90,,89,89,141,85,,No
001734.png,125,,,,,88,,,,,Yes
001735.png,121,88,83,,,89,92,86,,,Yes
001738.png,129,75,,,,91,91,,,,Yes
00174.png,76,126,,,,89,90,,,,No
001744.png,76,,,,,89,,,,,Yes
001747.png,128,72,87,,,91,90,90,,,Yes
00175.png,128,75,86,,,89,90,144,,,No
001752.png,128,80,75,70,,90,139,90,76,,Yes
001755.png,89,125,75,117,,126,90,90,139,,Yes
00176.png,127,77,,,,89,89,,,,No
00177.png,75,125,,,,88,87,,,,No
001771.png,81,106,,,,88,122,,,,Yes
00178.png,126,78,110,85,,89,91,12,137,,No
001782.png,119,,,,,84,,,,,Yes
001784.png,82,107,,,,88,121,,,,Yes
